_id,created_date,name,region,type,superintendent_allowance,higher_officer_allowance,spr_members_1,spr_members_2,other_allowances,normal_scale_1,normal_scale_2,normal_scale_3,climate_allowances,__v
5fb670b8147321193885bb29,2020-11-19T13:18:48.066Z,Bonga/Mizan/Dalecha/Genka/Gumaiday/Werabe/Mash/Tercha,SPNR,zone,370,320,171,145,119,null,null,null,false,0
5fb673e4147321193885bb2a,2020-11-19T13:32:20.872Z,Maichew/Adigrat/Setitumera/Aksum/Endaselassie,Tigrai,zone,510,320,220,173,126,null,null,null,false,0
5fb67481147321193885bb2b,2020-11-19T13:34:57.583Z,Kebridehar/Wardare/Filltu,Somalia,zone,370,320,171,145,119,null,null,null,false,0
5fb675f0147321193885bb2c,2020-11-19T13:41:04.505Z,Shenelle/Argelle/Fike,Somalia,zone,370,325,124,106,103,null,null,null,false,0
5fb676c9147321193885bb2d,2020-11-19T13:44:41.533Z,Adama(Debrezeit),Oromia,zone,400,595,193,159,125,null,null,null,false,0
5fb67c80147321193885bb2e,2020-11-19T14:09:04.835Z,Shashemene/Negelle,Oromia,zone,450,380,179,149,124,null,null,null,false,0
5fb67cee147321193885bb2f,2020-11-19T14:10:54.268Z,Chiro/Nekemte/Yabello/Ambo,Oromia,zone,565,425,179,149,124,null,null,null,false,0
5fb67eb1147321193885bb30,2020-11-19T14:18:25.932Z,Asela/Robe/Ficha,Oromia,zone,510,410,179,149,124,null,null,null,false,0
5fb67f66147321193885bb31,2020-11-19T14:21:26.353Z,Gembi/Gima/Metu/Weliso/Shambu,Oromia,zone,535,450,179,149,124,null,null,null,false,0
5fb67ffc147321193885bb32,2020-11-19T14:23:56.019Z,Dembidollo,Oromia,zone,535,450,106,102,124,null,null,null,false,0
5fb68094147321193885bb33,2020-11-19T14:26:28.324Z,Fenoteselam,Amhara,zone,490,385,192,157,122,null,null,null,false,0
5fb684ec147321193885bb34,2020-11-19T14:45:00.743Z,Lalibela,Amhara,zone,665,525,218,176,134,null,null,null,false,0
5fb6853b147321193885bb35,2020-11-19T14:46:19.234Z,Debremarkos,Amhara,zone,420,360,192,157,122,null,null,null,false,0
5fb68589147321193885bb36,2020-11-19T14:47:37.779Z,Debretabor,Amhara,zone,400,340,192,157,122,null,null,null,false,0
5fb685ed147321193885bb37,2020-11-19T14:49:17.135Z,Weldia,Amhara,zone,435,355,192,157,122,null,null,null,false,0
5fb6863f147321193885bb38,2020-11-19T14:50:39.023Z,Debrebrhane,Amhara,zone,430,370,192,157,122,null,null,null,false,0
5fb686b2147321193885bb39,2020-11-19T14:52:34.548Z,Dessie,Amhara,zone,520,438,192,157,122,null,null,null,false,0
5fb686fb147321193885bb3a,2020-11-19T14:53:47.068Z,Gonder,Amhara,zone,715,515,218,176,134,null,null,null,false,0
5fb68744147321193885bb3b,2020-11-19T14:55:00.782Z,Kemessie,Amhara,zone,380,330,192,157,122,null,null,null,false,0
5fb68791147321193885bb3c,2020-11-19T14:56:17.006Z,Engebara,Amhara,zone,395,335,192,157,122,null,null,null,false,0
5fb687cc147321193885bb3d,2020-11-19T14:57:16.188Z,Kombolcha,Amhara,zone,588,435,192,157,122,null,null,null,false,0
