_id,created_date,general_name,name,level,__v
5fbfdec0d845c220f8c0b815,2020-11-26T16:58:40.706Z,Afar,Tendaho,level_2,0
5fbfdecbd845c220f8c0b816,2020-11-26T16:58:51.689Z,Afar,Eldar,level_2,0
5fbfdeefd845c220f8c0b817,2020-11-26T16:59:27.388Z,Afar,Ditoto,level_2,0
5fbfdefad845c220f8c0b818,2020-11-26T16:59:38.272Z,Afar,Galafi,level_2,0
5fbfdf09d845c220f8c0b819,2020-11-26T16:59:53.948Z,Afar,Bura,level_2,0
5fbfdf9ed845c220f8c0b81a,2020-11-26T17:02:22.000Z,Tigrai,Rinda,level_2,0
5fbfe0d6d845c220f8c0b81b,2020-11-26T17:07:34.011Z,Debub Omo,Nemerpuse,level_2,0
5fbfe0d6d845c220f8c0b81c,2020-11-26T17:07:34.011Z,Debub Omo,Fejeje,level_2,0
5fbfe0d6d845c220f8c0b81d,2020-11-26T17:07:34.012Z,Debub Omo,Dande,level_2,0
5fbfe0d6d845c220f8c0b81e,2020-11-26T17:07:34.013Z,Debub Omo,Demeka,level_2,0
5fbfe0d6d845c220f8c0b81f,2020-11-26T17:07:34.014Z,Debub Omo,Turmi,level_2,0
5fbfe0d6d845c220f8c0b820,2020-11-26T17:07:34.014Z,Debub Omo,Bume,level_2,0
5fbfe0d6d845c220f8c0b821,2020-11-26T17:07:34.015Z,Debub Omo,Mubaso,level_2,0
5fbfe0d6d845c220f8c0b822,2020-11-26T17:07:34.015Z,Debub Omo,Keseme,level_2,0
5fbfe0d6d845c220f8c0b823,2020-11-26T17:07:34.015Z,Debub Omo,Erbore,level_2,0
5fbfeb6bd845c220f8c0b824,2020-11-26T17:52:43.275Z,Ogaden,Sulsule,level_1,0
5fbfeb6bd845c220f8c0b825,2020-11-26T17:52:43.275Z,Ogaden,Gudere,level_1,0
5fbfeb6bd845c220f8c0b826,2020-11-26T17:52:43.276Z,Ogaden,Ete,level_1,0
5fbfeb6bd845c220f8c0b827,2020-11-26T17:52:43.276Z,Ogaden,Yet,level_1,0
5fbfeb6bd845c220f8c0b828,2020-11-26T17:52:43.276Z,Ogaden,Bara,level_1,0
5fbfeb6bd845c220f8c0b829,2020-11-26T17:52:43.276Z,Ogaden,Dulubaye,level_1,0
5fbfeb6bd845c220f8c0b82a,2020-11-26T17:52:43.277Z,Ogaden,Deama,level_1,0
5fbfeb6bd845c220f8c0b82b,2020-11-26T17:52:43.277Z,Ogaden,Bahe,level_1,0
5fbfeb6bd845c220f8c0b82c,2020-11-26T17:52:43.277Z,Ogaden,Kurmese,level_1,0
5fbfeb6bd845c220f8c0b82d,2020-11-26T17:52:43.277Z,Ogaden,Gelassi,level_1,0
5fbfeb6bd845c220f8c0b82e,2020-11-26T17:52:43.277Z,Ogaden,Dedabe,level_1,0
5fbfeb6bd845c220f8c0b82f,2020-11-26T17:52:43.278Z,Ogaden,Ferfer,level_1,0
5fbfeb6bd845c220f8c0b830,2020-11-26T17:52:43.278Z,Ogaden,Mestahil,level_1,0
5fbfeb6bd845c220f8c0b831,2020-11-26T17:52:43.278Z,Ogaden,Kerekure,level_1,0
5fbfeb6bd845c220f8c0b832,2020-11-26T17:52:43.278Z,Ogaden,Durikesi,level_1,0
5fbfeb6bd845c220f8c0b833,2020-11-26T17:52:43.279Z,Ogaden,Biyanode,level_2,0
5fbfeb6bd845c220f8c0b834,2020-11-26T17:52:43.279Z,Ogaden,Hamero,level_2,0
5fbfeb6bd845c220f8c0b835,2020-11-26T17:52:43.279Z,Ogaden,Lemasholende,level_2,0
5fbfeb6bd845c220f8c0b836,2020-11-26T17:52:43.279Z,Ogaden,Dawat,level_2,0
5fbfeb6bd845c220f8c0b837,2020-11-26T17:52:43.280Z,Ogaden,Afker,level_2,0
5fbfeb6bd845c220f8c0b838,2020-11-26T17:52:43.280Z,Ogaden,Danote,level_2,0
5fbfeb6bd845c220f8c0b839,2020-11-26T17:52:43.280Z,Ogaden,Hargele,level_2,0
5fbfeb6bd845c220f8c0b83a,2020-11-26T17:52:43.281Z,Ogaden,Wardare,level_2,0
5fbfeb6bd845c220f8c0b83b,2020-11-26T17:52:43.281Z,Ogaden,Melkacheret,level_2,0
5fbfeb6bd845c220f8c0b83c,2020-11-26T17:52:43.282Z,Ogaden,Welwel,level_2,0
5fbfeb6bd845c220f8c0b83d,2020-11-26T17:52:43.282Z,Ogaden,Surmi,level_2,0
5fbfeb6bd845c220f8c0b83e,2020-11-26T17:52:43.282Z,Ogaden,Kureha,level_2,0
5fbfeb6bd845c220f8c0b83f,2020-11-26T17:52:43.283Z,Ogaden,Kewarehinrlei,level_2,0
5fbfeb6bd845c220f8c0b840,2020-11-26T17:52:43.283Z,Ogaden,Mererale,level_2,0
5fbfeb6bd845c220f8c0b841,2020-11-26T17:52:43.283Z,Ogaden,Almedo,level_2,0
5fbfeb6bd845c220f8c0b842,2020-11-26T17:52:43.284Z,Ogaden,Shelabo,level_2,0
5fbfeb6bd845c220f8c0b843,2020-11-26T17:52:43.284Z,Ogaden,Elkere,level_2,0
5fbfeb6bd845c220f8c0b844,2020-11-26T17:52:43.284Z,Ogaden,Telafo,level_2,0
5fbfeb6bd845c220f8c0b845,2020-11-26T17:52:43.285Z,Ogaden,Bebayu,level_2,0
5fbfeb6bd845c220f8c0b846,2020-11-26T17:52:43.285Z,Ogaden,Edidele,level_2,0
5fbfeb6bd845c220f8c0b847,2020-11-26T17:52:43.285Z,Ogaden,Emi,level_2,0
5fbfeb6bd845c220f8c0b848,2020-11-26T17:52:43.285Z,Ogaden,Gude,level_2,0
5fbfeb6bd845c220f8c0b849,2020-11-26T17:52:43.286Z,Ogaden,Elbahude,level_2,0
5fbfeb6bd845c220f8c0b84a,2020-11-26T17:52:43.286Z,Ogaden,Awkelif,level_2,0
5fbfeb6bd845c220f8c0b84b,2020-11-26T17:52:43.286Z,Ogaden,Shebel,level_2,0
5fbfeb6bd845c220f8c0b84c,2020-11-26T17:52:43.286Z,Ogaden,Arabi,level_2,0
5fbfeb6bd845c220f8c0b84d,2020-11-26T17:52:43.287Z,Ogaden,Gugeti,level_2,0
5fbfeb6bd845c220f8c0b84e,2020-11-26T17:52:43.287Z,Ogaden,Biyakobebe,level_2,0
5fbfeb6bd845c220f8c0b84f,2020-11-26T17:52:43.287Z,Ogaden,Dehune,level_2,0
5fbfeb6bd845c220f8c0b850,2020-11-26T17:52:43.287Z,Ogaden,Hararba,level_2,0
5fbfeb6bd845c220f8c0b851,2020-11-26T17:52:43.288Z,Ogaden,Danane,level_2,0
5fbfeb6bd845c220f8c0b852,2020-11-26T17:52:43.288Z,Ogaden,Shaki,level_2,0
5fbfeb6bd845c220f8c0b853,2020-11-26T17:52:43.288Z,Ogaden,Imi,level_2,0
5fbfeb6bd845c220f8c0b854,2020-11-26T17:52:43.289Z,Ogaden,Derewyna,level_2,0
5fbfeb6bd845c220f8c0b855,2020-11-26T17:52:43.289Z,Ogaden,Kebridehar,level_2,0
5fbfeb6bd845c220f8c0b856,2020-11-26T17:52:43.289Z,Ogaden,Alkuran,level_2,0
5fbfeb6bd845c220f8c0b857,2020-11-26T17:52:43.289Z,Ogaden,Shakiso,level_2,0
5fbfeb6bd845c220f8c0b858,2020-11-26T17:52:43.290Z,Ogaden,Kugna,level_2,0
5fbfeb6bd845c220f8c0b859,2020-11-26T17:52:43.290Z,Ogaden,Fike,level_2,0
5fbfeb6bd845c220f8c0b85a,2020-11-26T17:52:43.290Z,Ogaden,Weldiya,level_2,0
5fbfeb6bd845c220f8c0b85b,2020-11-26T17:52:43.291Z,Ogaden,Segeg,level_2,0
5fbfeb6bd845c220f8c0b85c,2020-11-26T17:52:43.291Z,Ogaden,Hawedebe,level_2,0
5fc52b8971ade20a7c362c75,2020-11-30T17:27:37.938Z,Tigrai,Dalul simit,level_1,0
